"STATION","NAME","DATE","PRCP","TMAX","TMIN","TOBS"
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-27","3.55","83","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-28","0.40","85","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-29","0.27","87","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-06-30","0.01","86","69",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-01","0.00","90","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-02","0.42","95","73",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-03","0.00","94","78",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-04","0.31","95","75",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-05","0.74","84","67",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-06","0.01","82","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-07","0.00","88","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-08","0.00","86","71",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-09","0.00","89","71",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-10","0.00","92","76",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-11","0.00","98","79",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-12","0.10","96","76",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-13","0.00","96","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-14","0.00","97","71",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-15","0.11","88","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-16","0.00","97","79",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-17","0.00","104","81",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-18","0.24","104","80",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-19","0.00","94","75",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-20","0.00","93","79",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-21","0.29","95","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-22","1.95","87","71",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-23","0.00","87","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-24","0.00","92","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-25","0.00","89","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-26","0.00","89","75",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-27","0.65","93","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-28","0.47","93","73",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-29","0.00","92","79",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-30","0.00","93","79",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-07-31","0.00","94","80",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-01","0.00","99","84",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-02","0.00","98","83",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-03","0.00","99","83",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-04","0.00","89","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-05","0.00","92","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-06","0.00","92","75",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-07","0.00","90","75",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-08","0.00","89","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-09","0.00","86","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-10","1.42","83","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-11","0.00","82","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-12","0.00","81","61",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-13","0.00","83","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-14","0.00","87","74",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-15","0.00","88","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-16","0.00","89","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-17","0.00","87","71",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-18","0.00","86","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-19","0.00","88","75",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-20","0.00","91","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-21","0.00","87","69",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-22","0.00","88","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-23","0.23","88","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-24","0.00","87","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-25","0.73","88","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-26","0.57","83","69",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-27","3.18","80","70",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-28","0.01","83","72",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-29","1.50","78","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-30","0.00","70","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-08-31","0.00","72","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-01","1.36","67","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-02","0.89","70","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-03","0.00","75","63",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-04","0.01","78","66",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-05","1.38","72","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-06","0.00","78","61",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-07","0.00","83","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-08","0.00","84","65",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-09","0.00","86","66",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-10","0.07","78","63",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-11","0.00","78","56",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-12","0.00","71","59",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-13","0.50","71","63",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-14","0.71","70","65",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-15","0.06","75","66",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-16","0.01","76","64",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-17","0.00","82","66",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-18","0.00","85","68",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-19","0.00","78","60",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-20","0.00","70","57",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-21","0.00","69","52",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-22","0.00","72","54",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-23","0.09","80","67",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-24","0.21","79","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-25","0.00","72","56",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-26","0.00","74","57",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-27","0.00","77","62",
"USC00366886","PHILADELPHIA FRANKLIN INSTITUTE, PA US","2006-09-28","0.43","79","56",
